ARTICULO;NOMBRE
106451;Panel TEIDE 300x240cm
106462;"Alineador TEIDE U80 ; L=1,20m"
106461;"Alineador TEIDE U80 ; L=1,20m"
106472;ML TUBO P.V.C. INDE-K 27mm
106471;ML TUBO P.V.C. INDE-K 27mm
104181;CHAPA PILAR 1,50 X 0,60
113202;Pilar Circular INDE-K Ø35x50cm
113211;Pilar Circular INDE-K Ø30x100cm
113212;Pilar Circular INDE-K Ø30x100cm
113221;Pilar Circular INDE-K Ø30x50cm
113222;Pilar Circular INDE-K Ø30x50cm
103282;Contenedor INDE-K 130x76x82 cm
114001;CERROJOS
114002;CERROJOS
103281;Contenedor INDE-K 130x76x82 cm
106492;Tuerca Hexagonal TEIDE Ø15mm
106491;Tuerca Hexagonal TEIDE Ø15mm
102261;TABLERO FENOLICO 2,98  X 1,18 INDE-K
113132;Pilar Circular INDE-K Ø50x100cm
117011;MARCO U-70
117021;LARGUERO DE FACHADA 2M
117031;LARGUERO DE FACHADA 3M
117041;DIAGONAL DE FACHADA 2M
117051;DIAGONAL DE FACHADA 3M
117061;PIE DE BARANDILLA SIMPLE
117071;SUPLEMENTO DE BARANDILLA U-70
117081;PLATAFORMA DE ACERO 2M
117091;PLATAFORMA ALUM/MAD 3M C/TRAMPILLA
117101;ESCALERA PARA PLATAFORMA
117111;BARANDILLA ESQUINAL U-70
117121;RODAPIE DE 0,70M
117131;RODAPIE DE 2M
117141;RODAPIE DE 3M
117151;HUSILLO DE 40
117161;TUBO CON GANCHO 48MM
117171;BRIDA GIRATORIA 48MM
117181;PLATAFORMA DE ACERO 3M
101292;"Apeo UNO ; L=100 cm ; Naranja"
949071;PLACA NERVIADA
949081;TUERCA MARIPOSA STEN
949091;GANCHO IZADO
949101;MORDAZA STANDARD
949111;MORDAZA STANDARD CORTA
949121;MORDAZA REGULABLE
949131;MORDAZA REGULABLE CORTA
949141;MORDAZA ESQUINA
103182;PUNTAL 3M AMARILLO 1,8MM
101312;"Arriostrador UNO97-Qbeta2a-ESP ; L=4,00 m"
101311;"Arriostrador UNO97-Qbeta2a-ESP ; L=4,00 m"
101322;"Arriostrador UNO ; L=2,00m ; Naranja"
101321;"Arriostrador UNO ; L=2,00m ; Naranja"
104161;"Chapa Pilar INDE-K 150x50cm ; Rojo"
106781;"CIERRE MACHO ""INDE-K"""
105072;ML TABICA 200 X 30 AZUL
106782;"CIERRE MACHO ""INDE-K"""
113231;Pilar Circular INDE-K Ø40x300cm
104162;"Chapa Pilar INDE-K 150x50cm ; Rojo"
106783;"CIERRE MACHO ""INDE-K"" A REPARAR"
112092;Clavija Corbata INDE-K
105061;ML TABICA 100 X 40
105062;ML TABICA 100 X 40
112091;Clavija Corbata INDE-K
104172;"Chapa Pilar INDE-K 300x50cm ; Amarillo"
106791;"CIERRE HEMBRA ""INDE-K"""
